row,project,category,subcategory,services,url,final_url,status,title,meta,h1,snippet,predicted_category,flag,error
21,Telepat,IT и телеком,коммуникации,Program,,,,,,,,,unavailable,not_url
22,textback.ru,IT и телеком,коммуникации,"SEO, PPC, ORM, Program",https://textback.ru,https://textback.ru,200,TextBack — автоматизация продаж и маркетинга в мессенджерах,"Объедините Telegram, MAX, WhatsApp и VK в одном окне. Автоответы, рассылки, чат-боты и интеграция с CRM. Попробуйте 3 дня бесплатно. | TextBack — автоматизация продаж и маркетинга в мессенджерах | Объедините Telegram, MAX, WhatsApp и VK в одном окне. Автоответы, рассылки, чат-боты и интеграция с CRM. Попробуйте 3 дня бесплатно.",Платформа автоматизации | продаж и маркетинга | в мессенджерах,"Подписывайтесь на Telegram TextBack. Публикуем кейсы, полезные гайды и советы по внедрению Подписаться стоимость решения Получайте лиды и удерживайте клиентов с помощью WhatsApp рассылок Приведите больше людей на конференцию с помощью внедрения напоминаний в WhatsApp Получайте лиды на автопилоте через WhatsApp Работа с базами 100к+ продукты TextBack AI Agent — агент для продаж RetailAI — агент для ритейла AI-бот в мессенджерах Чат-боты в MAX Чат-боты в Telegram Чат-боты в WhatsApp Mini App программы лояльности в Telegram WhatsApp Business API Telegram интеграции Telegram, MAX, WABA и WhatsApp для amoCRM Интеграция WhatsApp Business API и amoCRM Интеграция WhatsApp Business API и Bitrix24 WhatsApp для GetCourse Интеграция c Mindbox Каталог интеграций TextBack кейсы ресурсы Блог База знаний компания Выбрать партнера Стать партнером Контакты Пресса о нас 3 дня бесплатно войти 3 дня бесплатно войти Записаться на демо Объедините все каналы в одном окне, автоматизируйте рутину, ускоряйте сде",Авто,category_mismatch_candidate,
23,trnsoft.ru,IT и телеком,разработка по,"Program, WD",https://trnsoft.ru,https://www.trnsoft.ru/,200,ТранснавиСофт,,,"+7 (499) 503-67-12 trn@trnsoft.ru Перейти к содержимому Главная О компании Наши достижения Проекты Пассажирский транспорт Информация о проекте Навитранс. Диспетчер Навитранс. Маршруты Навитранс. Расписания Навитранс. Пассажиропотоки Навитранс. Транзакции Навитранс. Информирование Навитранс. КВР Навитранс. Спецавто Грузовой транспорт Навитранс. Грузовые перевозки Дортранснавигация Телематика Навитранс. Телематика Цифровой диспетчер Отчет о выполнении НИОКР Свидетельства о регистрации ПО Информационные материалы Свидетельства Цены Контакты Автоматизированная информационная система управления наземным пассажирским транспортом ВКЛЮЧЕНА В ЕДИНЫЙ РЕЕСТР РОССИЙСКИХ ПРОГРАММ ДЛЯ ЭЛЕКТРОННЫХ И ВЫЧИСЛИТЕЛЬНЫХ МАШИН И БАЗ ДАННЫХ Навитранс.Диспетчер Оперативное управление процессом перевозок пассажиров на городских, пригородных или междугородних маршрутах Навитранс.Информирование Информирование пассажиров о работе общественного транспорта посредством мобильных устройств и электронных остановочных ",Спорт и фитнес,category_mismatch_candidate,
24,zabota.tech,IT и телеком,медтех,SMM,https://zabota.tech,https://zabota.tech,200,Забота 2.0 - Умная система коммуникации с пациентами и автоматизации маркетинга в клинике,"Увеличьте выручку вашей клиники уже в следующем месяце внедрив умную систему персональных коммуникаций с пациентами | Забота 2.0 - Умная система коммуникации с пациентами и автоматизации маркетинга в клинике | Увеличьте выручку вашей клиники на 30% уже через 2 месяц, внедрив комплекс инструментов для системной работы с базой пациентов",,Возможности Продукты Интеграции Кейсы Отзывы Стоимость Контакты 8 800 555 38 62 8 800 555 38 62 Возможности Продукты Интеграции Кейсы Отзывы Контакты Стоимость умная система коммуникации с пациентами Забота 2.0 — умная система для работы с базой пациентов и увеличения выручки клиники Оставить заявку О Забота за 2 минуты 3-4 мес в 3-5 раз +20-25% средняя окупаемость внедрения системы увеличивается количество положительных отзывов +14-20% увеличиваются доходы клиники растет конверсия в повторный прием 10 преимуществ от внедрения Забота 2.0 Преимущества Комплексный подход к работе с базой пациентов Забота 2.0 — это более 10 сервисов и 270 различных сценариев Умная автоматизация коммуникаций Система учитывает 86 параметров пациента из вашей МИС Повышение доходимости пациентов За счет интерактивных напоминаний и подтверждений приемов Возвращение «спящих» пациентов Благодаря персональному подходу и проверенным сценариям приглашений Повышение эффективности Через повышение конверсий на всех эт,Медицина,category_mismatch_candidate,
25,avtera.ru,Авто,авто,Program,https://avtera.ru,,,,,,,,unavailable,"URLError: <urlopen error [Errno 8] nodename nor servname provided, or not known>"
26,cool-stream.ru,Авто,автохимия,Program,https://cool-stream.ru,https://cool-stream.ru,200,"Продукция Coolstream: антифризы, омыватели, присадки","Продукция Coolstream: антифризы, омыватели, присадки  | Под брендом Coolstream компания Техноформ занимается производством и поставками антифризов, стеклоомывающих жидкостей и присадок в топливо для автомобилей | Под брендом Coolstream компания Техноформ занимается производством и поставками антифризов, стеклоомывающих жидкостей и присадок в топливо для автомобилей",Продукция Coolstream,РЕГИСТРАЦИЯ ВХОД Логин (e-mail): Пароль: Запомнить имя и пароль Забыли пароль? ВХОД Компания О компании Преимущества антифризов Coolstream Допуски и сертификаты Политика качества Ответственность Награды Coolstream и спорт Новости Пресса о нас Фотобанк Вакансии Продукция Антифризы Coolstream Стеклоомыватели Coolstream Присадки в топливо Coolstream Прочая продукция ТЕХНОФОРМ Мастер подбора антифриза Про антифриз Как выбрать антифриз Вопрос-ответ Словарь терминов Статьи и обзоры Видео Партнерам Дистрибьюторам Поставщикам Вход Регистрация Контакты Где купить Блог ПОДОБРАТЬ АНТИФРИЗ Показать каталог Подбор антифриза Марка ВАЗ ГАЗ ЗАЗ ЗИЛ ЛуАЗ Москвич ТагАЗ УАЗ Acura Alfa Romeo Aston Martin Audi BMW BYD Bentley Brabus Brilliance Bugatti Buick Cadillac ChangFeng Changan Chery Chevrolet Chrysler Citroen Dacia Daewoo Daihatsu Daimler Datsun Derways Dodge DongFeng FAW Ferrari Fiat Ford Foton GMC Geely Genesis Great Wall Haima Haval Honda Hummer Hyundai Infiniti Isuzu Jaguar Jeep Kia LADA (ВАЗ) L,IT и телеком,category_mismatch_candidate,
27,kvadrostyle.com,Авто,мототехника,"SEO, ORM, Program",https://kvadrostyle.com,https://kvadrostyle.com,200,Экипировка и аксессуары для квадроциклов - KvadroStyle.com - Москва,"Интернет-магазин «KVADROSTYLE.COM» предлагает Вам большой выбор аксессуаров и экипировки для квадроциклов, мотоциклов, гидроциклов и снегоходов в Москве. Звоните: 8 (499) 340-63-51",Интернет-магазин экипировки и аксессуаров для квадроциклов,Главная О магазине Доставка (до Транспортной компании) Оплата Ваш регион: Москва Москва ваш город? Выбрать другой город Вход Регистрация 8 (499) 340-63-51 8 (965) 318-34-38 Заказать звонок Заказать звонок Имя: Телефон: Сообщение: Работаем без выходных с 9:00 до 20:00 Самовывоз: 2 Карпатская владение 4 Наша почта: 89653183438@mail.ru корзине товаров На сумму Каталог Аксессуары для квадроциклов Аксессуары для снегоходов Электровелосипеды Гидроциклы Квадроциклы Запчасти для квадроцикла Лодочные моторы YAMAHA Мотоциклы Ремонт квадроциклов Снегоходы Тюнинг квадроциклов Экипировка Наши услуги Ремонт квадроциклов Тюнинг мототехники Подбор экипировки Замена расходников Акции и скидки Контакты Вакансии Менеджер по продажам Механик Предложения о сотрудничестве Задать вопрос Аксессуары для квадроциклов Аксессуары для снегоходов Электровелосипеды Гидроциклы Квадроциклы Запчасти для квадроцикла Лодочные моторы YAMAHA Мотоциклы Ремонт квадроциклов Снегоходы Тюнинг квадроциклов Экипировка Горячие пре,Ритейл и e-commerce,category_mismatch_candidate,
28,modus-auto.ru,Авто,автодилер,Program,https://modus-auto.ru,https://car-dealer-msk.ru/,200,Купить автомобили в Москве — Официальный дилер,Купить автомобили в Москве со скидкой. Широкий выбор новых и подержанных автомобилей по выгодным ценам ,Продажа автомобилей в Москве,8:00 - 22:00 Москва О компании Такси в кредит Отзывы Новости Контакты Экспресс-кредит Новые авто Авто с пробегом Спецпредложения Кредитные программы Trade-In Конфигуратор Такси в кредит Подборки автомобилей Избранное Главная О компании Такси в кредит Отзывы Контакты Москва 8:00 - 22:00 Найти О компании Такси в кредит Отзывы Контакты Кредит и рассрочка Экспресс-кредит Семейный автомобиль Первый автомобиль По программе Trade-in Работникам медицины Рассрочка Кредитный калькулятор Trade-In Конфигуратор Спецпредложения Каталог автомобилей Chery Geely Lifan Haval Changan FAW Great Wall Zotye JAC Dongfeng GAC Kia Chevrolet Citroen Datsun Ford Honda Hyundai Lada Mazda Mitsubishi Nissan Opel Peugeot Ravon Renault Skoda SsangYong Suzuki Toyota Volkswagen BAIC Brilliance Evolute Exeed Forthing Haima JAECOO Jetour Jetta Kaiyi KNEWSTAR Livan Omoda Oting Skywell Solaris SOUEAST SWM Tank Voyah XCITE Москвич УАЗ Авто с пробегом Chery Geely Lifan Haval Changan FAW Great Wall Zotye JAC Dongfeng GAC Kia ,Авто,,
29,top-shina.com,Авто,шины,Program,https://top-shina.com,https://top-shina.com,200,,,,"Телефон +7(909) 963-77-22 Цена Гарантия ОПТ Шиномонтаж Отзывы Контакты Связаться Продажа шин из Европы ПРОДАЖА Б/У И НОВЫХ ШИН ПЕРЕЙТИ В КАТАЛОГ на шиномонтаж на месте При покупке шин у нас шиномонтаж на месте со скидкой до 50% 3 шинных центра по Москве Посмотреть адреса Более 15 000 шин У нас в наличии более 15 000 единиц шин Доставим куда-угодно Осущестляем доставку по Москве и РФ ПРОВЕРЕННЫЕ ЦЕНЫ от 1750р Цены дешевле в 4 раза , чем у конкурентов Убедитесь сами в нашем каталоге Перейти в каталог Каталог Юго-западная Каталог Речной вокзал Каталог Рязанский проспект ГАРАНТИРУЕМ 100% КАЧЕСТВО Б/У ШИН Все шины проходят жесткий контроль на явные и скрытые дефекты Порезов нет Грыжи нет Проколов нет Допустимая высота протектора предлагаем шины б/у оптом Прямые поставки на выгодных условиях ОПТ от 100шт. Поставляем шины на выгодных для вас условиях Проверенные поставщики Шины из Европы, Японии и ОАЭ От R15 до R23 Широкий диапазон размеров шин ОЗНАКОМИТЬСЯ С УСЛОВИЯМИ ОПТА ЯВЛЯЕМСЯ ПОСТАВЩИК",Авто,,
30,topshini.ru,Авто,шины,LP,https://topshini.ru,,,,,,,,unavailable,HTTPError: HTTP Error 403: Forbidden
31,volvo-tushino.ulcraft.com,Авто,автосервис,SMM,https://volvo-tushino.ulcraft.com,https://volvo-tushino.ulcraft.com,200,Автосервис по обслуживанию Вольво в Тушино,"Мы профессионально занимаемся ремонтом и обслуживанием автомобилей вольво. Диагностика в подарок | автосервис вольво водный стадион, вольво ленинградское шоссе, ремонт вольво сзао, сервис Вольво Водный Стадион, сервис вольво | Автосервис по обслуживанию Вольво в Тушино | Мы профессионально занимаемся ремонтом и обслуживанием автомобилей вольво. Диагностика в подарок",,"+7 (968) 747-61-61 г. Москва, ул. Свободы 31с1 техцентр Volvo Главная Прайс ремонт Т4 О нас Контакты Еще Промывка пакета радиаторов за 9000 руб Доверьте ваше авто профессионалам, которые действител­­ьно любят и знают свою работу. Услуги Преимущества нашего сервиса профильное диагностическое и ремонтное оборудование обеспечивает высокое качество Высококвалифицированный персонал с многолетним опытом работы с автомобилями Volvo Доступность цен по сравнению со станциями официальных дилеров, подбираем аналоги Мы всегда держим в наличии оригинальные жидкости и запчасти для ТО Услуги Комплексная диагностика volvo Бесплатно Компьютерная диагнстика, чтение кодов ошибок по всем системам автомобиля, диагностика ходовой, проверка всех жидкостей. ЗАмена масла в двигателе Цена: 750.00 руб. Всегда в наличии оригинальные жидкости Volvo и запчасти для ТО! Замена тормозных колодок Цена: 1200.00 руб. Замена передних/задних тормозных колодок. *Цена указана за одну ось. Копмплексное тех. обслуживание (ТО) ",Авто,,
32,gulfstream.ru,Безопасность,охранные системы,"SEO, Таргет, ORM, Program, WD, Content",https://gulfstream.ru,https://gulfstream.ru,200,Установка охранных систем безопасности в Москве и Московской области — Охранная и противопожарная сигнализация | ГОЛЬФСТРИМ,Установка современной беспроводной охранной системы с поддержкой мобильного приложения в Москве и Московской области. Реагирование 24/7 ЧОП или ОВО Росгвардия. Бесплатная консультация инженера и быстрая установка в день визита. Техподдержка и клиентский сервис 24/7. Заказать установку можно на сайте или по телефону 📞 8(800)-700-74-35 | Установка охранных систем безопасности в Москве и Московской области — Охранная и противопожарная сигнализация | ГОЛЬФСТРИМ | Установка современной беспроводной о,Установка охранных систем от компании Гольфстрим,РЕЗУЛЬТАТЫ ПОИСКА По вашему запросу ничего не найдено. Вы можете посмотреть следующие разделы: Личный кабинет Защита квартиры Защита дома Защита Бизнеса Охранное оборудование Пультовая охрана Кнопка тревожной сигнализации Видеонаблюдение Премиальный сервис от Гольфстрим Акции и скидки на услуги и оборудование Оплата Отзывы Контакты Блог FAQ Вакансии Гольфстрим Партнёрам Документы Инструкции Реквизиты Согласие на обработку персональных данных Партнёрам Ваш регион Москва и МО Нет Москва и МО Москва и МО Санкт-Петербург и ЛО Екатеринбург и Свердловская область Нижний Новгород Краснодар Ростов-на-Дону Пермь Воронеж Волгоград Казань Самара Красноярск Новосибирск Уфа Сочи Другое Войти Оплата +7 (495) 983 00 00 Охрана дома Охрана дачи Охрана гаража Система охраны бани Охранная сигнализация для дома и дачи Охранная сигнализация для дверей и окон Система охраны периметра Охрана домов и коттеджей Росгвардией Премиальное обслуживание Услуги охраны Охрана квартиры Сигнализация для квартиры Охранна,Безопасность,,
33,ssg1.ru,Безопасность,охранные системы,Б24,https://ssg1.ru,,,,,,,,unavailable,"URLError: <urlopen error [Errno 8] nodename nor servname provided, or not known>"
34,elenakurochkina.ru,Бизнес-услуги,налоговый консалтинг,LP,https://elenakurochkina.ru,https://elenakurochkina.ru,200,"Налоговое планирование, due diligence","Налоговый аудит, налоговый консультант | Налоговый аудит по заданию заказчика. Консультанты учитывают специфику задачи и деятельности заказчика при проведении налогового аудита.","Ваш | due diligence, | но точнее","Услуги Стоимость О нас Акции Вопросы Контакты Заказать обратный звонок Услуги Стоимость О нас Акции Вопросы Контакты Заказать обратный звонок Экспресс-анализ налоговых рисков по ИНН Получить! Услуги Финансовый аудит Налоговое планирование Due diligence Налоговый аудит Оптимизация учетных процессов Налоговое консультирование Стоимость услуг Финансовый аудит от 150 000 руб. Налоговый аудит от 250 000 руб. Налоговое планирование 5% от экономического эффекта Оптимизация учетных процессов от 50 000 руб. Due diligence от 150 000 руб. Налоговое консультирование от 10 000 руб. Хотите определить точную стоимость услуг? Заполните форму ниже. Какую задачу нужно выполнить? Количество сотрудников в компании? Чем занимается компания? Ваш контакт (телефон, email, telegram) для связи Отправить Нажимая на кнопку «Отправить» Вы соглашаетесь на обработку персональных данных. О нас 20+ лет Опыта в аудите и консалтинге Работала в Big4 (PWC, KPMG) Курочкина Елена Олеговна Руководитель проектов Написать руко",Бизнес-услуги,,
35,medconsalting.ru,Бизнес-услуги,медицинский консалтинг,Content,https://medconsalting.ru,https://medconsalting.ru,200,Открыть клинику под ключ. Бизнес план медицинского центра.,Поможем открыть клинику под ключ. Разработаем бизнес план медицинского центра с окупаемостью за год. Стратег Тел.+79859551215 | Открыть клинику под ключ. Бизнес план медицинского центра. | Поможем открыть клинику под ключ. Разработаем бизнес план медицинского центра с окупаемостью за год. Стратег Тел.+79859551215,Поможем открыть клинику под ключ! | Полное сопровождение!,"+7 (985) 955-12-15 info@medconsalting.ru О нас Наши партнеры Наша команда Полезные материалы Вопрос-ответ Услуги Портфолио Цены Отзывы Контакты Альфабанк Открыть клинику Проработаем вашу идею, разработаем стратегию, выберем масштаб и формат, подготовим бизнес-план, найдем подходящую локацию, организуем ремонтные работы, окажем содействие в получении лицензии КОНСУЛЬТАЦИЯ СПЕЦИАЛИСТА Антикризисное управление Повысим доходность и создадим поток клиентов! Проведем комплексный аудит и оптимизацию бизнес-процессов, сделаем новый сайт или редизайн старого, поможем принять оптимальные кадровые решения, организуем грамотное продвижение услуг медицинского центра КОНСУЛЬТАЦИЯ СПЕЦИАЛИСТА Получение лицензии Лицензирование бизнеса Поддержка на всех этапах! Поможем закупить оборудование и мебель, разработать штатное расписание, подобрать персонал, подготовить документы. Подадим лицензионное дело в управление лицензирования Департамента здравоохранения или Минздрава КОНСУЛЬТАЦИЯ СПЕЦИАЛИСТА Наши усл",Медицина,category_mismatch_candidate,
36,mybncglobal.ru,Бизнес-услуги,консалтинг,LP,https://mybncglobal.ru,https://mybncglobal.ru,200,БиЭнСи Глобал + в России,,Секрет совершенной кожи из Южной Кореи,"О нас Препараты Обучение Поездки Документы Честный знак Партнёрство Отзывы Контакты +7 (993)-699-36-93 info@mybncglobal.ru Консультация +7 (993)-699-36-93 info@mybncglobal.ru Консультация Бесплатные поездки 2 раза в год! Инновационные филлеры и косметологические препараты BNC — воплощение корейских технологий и безупречного качества Получить консультацию Самая безопасная концентрация ГК 20мг/мл Не вызывающая имунного ответа и отсроченных осложнений Сертифицированное качество Подтвержденное ""Честным Знаком"" Наш путь Объединили последние достижения южнокорейской биотехнологии с высокими стандартами качества эстетической медицины 2019 Образование BNC Global+ в России Идея создать премиальные косметологические препараты на основе передовых корейских технологий положила начало бренду в России 2021 Регистрация нитей из полидиоксанона (PDO) ‘AestheLine' Бренд вывел на российский рынок рассасывающиеся нити AestheLine из PDO, ставшие популярным инструментом для безоперационного лифтинга. 2021 У",Фармацевтика и медизделия,category_mismatch_candidate,
