Запрос,Частотность / спрос,Источник подтверждения,Интент,Кластер,Приоритет,Тип страницы,Комментарий
создать сайт для стоматологии,Средний подтвержденный,Google Suggest,коммерческий,сайт для стоматологии,средний,нишевая страница,Подходит для FAQ/H2/FAQ-блока.
создание сайта для стоматологии,Низкий подтвержденный,Yandex Suggest,коммерческий,сайт для стоматологии,средний,нишевая страница,Полезное вариативное вхождение.
создание сайта стоматологии,Низкий подтвержденный,Google Suggest,коммерческий,сайт для стоматологии,средний,нишевая страница,Синонимичная форма того же кластера.
разработка сайта для стоматологии,Средний подтвержденный,Yandex Suggest,коммерческий,сайт для стоматологии,высокий,нишевая страница,Хорошо работает как отдельный subheading и анкоры.
готовый сайт для стоматологии,Средний подтвержденный,Google Suggest,коммерческий,сайт для стоматологии,средний,нишевая страница,Belberry как раз предлагает шаблонные решения; хороший fit по офферу.
разработка сайта клиники,Высокий подтвержденный,Google Suggest + Yandex Suggest,коммерческий,разработка сайтов для клиник,высокий,услуга,Главный dev-кластер общего назначения; страница уже есть.
создание медицинского сайта,Низкий подтвержденный,Google Suggest,коммерческий,разработка сайтов для клиник,средний,услуга,Полезное вторичное вхождение для общей dev-страницы.
личный сайт врача,Высокий подтвержденный,Google Suggest + Yandex Suggest,коммерческий,личный сайт врача,средний,подуслуга,"Страница уже есть; кластер хороший, но уже более узкий."
сайт для ветеринарной клиники,Низкий подтвержденный,Google Suggest,коммерческий,сайт для ветклиники,низкий,нишевая страница,"Адаптивный соседний кластер; имеет смысл, если хотите усиливать вет-направление."
сайт косметологической клиники,Низкий подтвержденный,Google Suggest,коммерческий,сайт для косметологии,средний,нишевая страница,"На сайте нет dev-страницы под косметологию, а спрос в suggest есть."
продвижение косметологии,Высокий подтвержденный,Google Suggest + Yandex Suggest,коммерческий,продвижение косметологии,высокий,нишевая страница,Существующая страница релевантна и должна собирать head-term.
продвижение косметологической клиники,Низкий подтвержденный,Google Suggest,коммерческий,продвижение косметологии,средний,нишевая страница,Полезное близкое вхождение для текущей SEO-страницы.
реклама косметологии,Высокий подтвержденный,Google Suggest + Yandex Suggest,коммерческий,реклама косметологии,высокий,нишевая страница,"Отдельной advertising-page на сайте нет, а запрос коммерческий."
реклама аппаратной косметологии,Средний подтвержденный,Google Suggest,коммерческий,реклама косметологии,средний,нишевая страница,Нишевая подпотребность внутри косметологии.
реклама клиники косметологии,Средний подтвержденный,Google Suggest,коммерческий,реклама косметологии,высокий,нишевая страница,Хороший landing-кандидат под performance-маркетинг в косметологии.
реклама косметологических услуг,Средний подтвержденный,Google Suggest + Yandex Suggest,коммерческий,реклама косметологии,средний,нишевая страница,Хорош для расширения семантики страницы рекламы косметологии.
контент план для клиники косметологии,Низкий подтвержденный,Google Suggest,информационный,контент для клиник,низкий,статья,"Не под коммерческий лендинг, а под блог/hub контента."
продвижение клиники пластической хирургии,Средний подтвержденный,SERP конкурентов + выдача Belberry,коммерческий,продвижение пластической хирургии,высокий,нишевая страница,Коммерческий кластер есть в выдаче и уже закрыт существующей страницей Belberry.
реклама клиники пластической хирургии,Средний подтвержденный,Google Suggest + SERP Yandex Direct,коммерческий,реклама пластической хирургии,средний,нишевая страница,На сайте нет рекламного лендинга под эту нишу.
управление репутацией клиники,Средний подтвержденный,SERP конкурентов,коммерческий,orm / serm для клиник,высокий,услуга,"Коммерческий SERP есть, а на сайте общая страница ORM может быть усилена под exact-кластер."
репутация врача,Средний подтвержденный,Google Suggest,околокоммерческий,orm / serm для клиник,средний,подуслуга,Отдельный микро-кластер под личный бренд и карточки врачей.
врачебная репутация,Низкий подтвержденный,Google Suggest,околокоммерческий,orm / serm для клиник,низкий,статья,"Скорее поддерживающий контент, чем основной лендинг."
продвижение на продокторов,Высокий подтвержденный,Google Suggest + Yandex Suggest,коммерческий,orm / serm для клиник,высокий,подуслуга,Существующая страница очень точна; один из сильнейших ORM-запросов.
сколько стоит продвижение на продокторов,Низкий подтвержденный,Google Suggest,коммерческий,orm / serm для клиник,средний,подуслуга,Прайсовый long-tail; можно раскрыть в FAQ/блоке стоимости.
медицинский копирайтинг,Средний подтвержденный,Google Suggest + Yandex Suggest,коммерческий,контент / копирайтинг,средний,подуслуга,Страница уже есть и должна собирать этот точный кластер.
брендинг клиники,Средний подтвержденный,Google Suggest,коммерческий,брендинг для клиник,средний,подуслуга,Хороший запрос на стыке стратегии и дизайна; лучше выделять под клиники отдельно.
брендбук клиники,Низкий подтвержденный,Google Suggest,коммерческий,брендинг для клиник,средний,подуслуга,"У Belberry уже есть релевантный URL, но title можно сильнее сместить под exact-query."
контент план для стоматологии,Средний подтвержденный,Google Suggest + Yandex Suggest,информационный,контент для клиник,средний,статья,Под коммерческий лендинг не нужен; ценен как трафиковая экспертная статья.
контент план для медицинской клиники,Низкий подтвержденный,Google Suggest,информационный,контент для клиник,низкий,статья,"Хорошо в блог, особенно с CTA на контент-услуги."
контент план для стоматологической клиники,Низкий подтвержденный,Google Suggest,информационный,контент для клиник,низкий,статья,Можно объединить со статьей про контент-план для стоматологии.
контент план для клиники,Низкий подтвержденный,Google Suggest,информационный,контент для клиник,низкий,статья,Общая входная фраза для контент-hub.
контент для стоматологической клиники,Низкий подтвержденный,Google Suggest,информационный,контент для клиник,низкий,статья,Поддерживающий long-tail к контентному хабу.
лидогенерация для стоматологии,Средний подтвержденный,Google Suggest + SERP конкурентов,коммерческий,лидогенерация для клиник,средний,нишевая страница,"У Belberry нет отдельного lead-gen лендинга, а спрос подтверждается."
продвижение клиники на яндекс картах,Средний подтвержденный,SERP конкурентов,коммерческий,локальное продвижение клиник,средний,нишевая страница,"В suggest слабо видно, но в SERP есть профильные материалы и кейсы."
продвижение ветеринарной клиники,Средний подтвержденный,Google Suggest + Yandex Suggest,коммерческий,продвижение ветеринарной клиники,низкий,нишевая страница,"Соседний рынок; страница уже есть, но для core-медтематики это не приоритет №1."
реклама ветеринарной клиники,Низкий подтвержденный,Google Suggest,коммерческий,реклама ветеринарной клиники,низкий,нишевая страница,Имеет смысл только если хотите усиливать vet-направление комплексно.
